              N     constr time     tree height   deconstr time
              2        0.001000               2        0.000000
              4        0.000000               3        0.000000
              8        0.000000               4        0.000000
             16        0.001000               5        0.000000
             32        0.000000               6        0.000000
             64        0.000000               7        0.000000
            128        0.001000               8        0.000000
            256        0.001000               9        0.000000
            512        0.001000              10        0.001000
           1024        0.001000              11        0.001000
           2048        0.001000              12        0.001000
           4096        0.002000              13        0.001000
           8192        0.003000              14        0.002000
          16384        0.006000              15        0.001000
          32768        0.010000              16        0.003000
          65536        0.019000              17        0.005000
         131072        0.070000              18        0.017000
         262144        0.107000              19        0.031000
         524288        0.179000              20        0.048000
        1048576        0.476000              21        0.094000
        2097152        1.514000              22        0.191000
        4194304        2.734000              23        0.484000
        8388608        6.535000              24        0.842000
       16777216       13.399000              25        1.950000
       33554432       37.368000              26        5.191000
