collisions vs n puts
collisions	n
8	100
19	200
33	300
32	400
54	500
70	600
88	700
102	800
116	900
75	1000
83	1100
97	1200
111	1300
132	1400
150	1500
164	1600
179	1700
203	1800
218	1900
240	2000
144	2100
154	2200
170	2300
181	2400
191	2500
204	2600
211	2700
219	2800
228	2900
234	3000
252	3100
260	3200
266	3300
275	3400
286	3500
297	3600
307	3700
310	3800
320	3900
330	4000
342	4100
352	4200
365	4300
372	4400
381	4500
388	4600
399	4700
405	4800
413	4900
422	5000
429	5100
433	5200
443	5300
455	5400
461	5500
462	5600
475	5700
483	5800
487	5900
499	6000
507	6100
279	6200
286	6300
288	6400
290	6500
296	6600
298	6700
303	6800
305	6900
307	7000
311	7100
314	7200
321	7300
329	7400
333	7500
337	7600
339	7700
343	7800
345	7900
348	8000
352	8100
355	8200
361	8300
366	8400
370	8500
376	8600
383	8700
385	8800
391	8900
394	9000
395	9100
402	9200
406	9300
410	9400
414	9500
418	9600
427	9700
432	9800
436	9900
440	10000
