Time for n puts
time(ms)	n
0.283107	100
2.092511	200
2.436345	300
2.800707	400
3.101348	500
3.405837	600
3.724867	700
3.871981	800
4.000277	900
4.237197	1000
4.421944	1100
4.551951	1200
4.685806	1300
4.799562	1400
4.907331	1500
5.016811	1600
5.139547	1700
5.249027	1800
5.357223	1900
5.469696	2000
5.785305	2100
5.896068	2200
6.003409	2300
6.155226	2400
6.265989	2500
6.459716	2600
6.663707	2700
6.840328	2800
6.961354	2900
7.072544	3000
7.191432	3100
7.302195	3200
7.414668	3300
7.527568	3400
7.643463	3500
7.754653	3600
7.866698	3700
8.033483	3800
8.155365	3900
8.273825	4000
8.392285	4100
8.504758	4200
8.624501	4300
8.735264	4400
8.849875	4500
8.959355	4600
9.071828	4700
9.183873	4800
9.294208	4900
9.407108	5000
9.515733	5100
9.667978	5200
9.781306	5300
9.893779	5400
10.004114	5500
10.122146	5600
10.316729	5700
10.527135	5800
10.762772	5900
10.895773	6000
11.022786	6100
11.53255	6200
11.659563	6300
11.766049	6400
11.877667	6500
12.042313	6600
12.156925	6700
12.296768	6800
12.407102	6900
12.524707	7000
12.670537	7100
12.845448	7200
13.025063	7300
13.143095	7400
13.261556	7500
13.373173	7600
13.485219	7700
13.598119	7800
13.717007	7900
13.82777	8000
13.995838	8100
14.117292	8200
14.233186	8300
14.351218	8400
14.461981	8500
14.577447	8600
14.69548	8700
14.808381	8800
14.917432	8900
15.109449	9000
15.31344	9100
15.516576	9200
15.70731	9300
15.844587	9400
16.024201	9500
16.139668	9600
16.258128	9700
16.375306	9800
16.493338	9900
16.608377	10000
