Load factor vs n puts
load factor	n
0.39375	100
0.4	200
0.571875	300
0.35625	400
0.4265625	500
0.5015625	600
0.565625	700
0.621875	800
0.68125	900
0.36875	1000
0.38828125	1100
0.4140625	1200
0.44296875	1300
0.4796875	1400
0.5140625	1500
0.54375	1600
0.5765625	1700
0.6109375	1800
0.64375	1900
0.66796875	2000
0.351171875	2100
0.365625	2200
0.379296875	2300
0.39296875	2400
0.405078125	2500
0.418359375	2600
0.4296875	2700
0.438671875	2800
0.448828125	2900
0.455859375	3000
0.46796875	3100
0.4765625	3200
0.48671875	3300
0.49765625	3400
0.506640625	3500
0.516015625	3600
0.526171875	3700
0.530859375	3800
0.54140625	3900
0.55078125	4000
0.561328125	4100
0.569921875	4200
0.57890625	4300
0.585546875	4400
0.592578125	4500
0.600390625	4600
0.608984375	4700
0.61328125	4800
0.619921875	4900
0.62578125	5000
0.631640625	5100
0.6390625	5200
0.645703125	5300
0.653515625	5400
0.66015625	5500
0.6640625	5600
0.673046875	5700
0.679296875	5800
0.68359375	5900
0.6890625	6000
0.695703125	6100
0.3505859375	6200
0.352734375	6300
0.355078125	6400
0.357421875	6500
0.361328125	6600
0.362890625	6700
0.365625	6800
0.36875	6900
0.3705078125	7000
0.3736328125	7100
0.3765625	7200
0.3794921875	7300
0.3828125	7400
0.384765625	7500
0.3875	7600
0.3892578125	7700
0.391015625	7800
0.3923828125	7900
0.394140625	8000
0.3966796875	8100
0.39921875	8200
0.401953125	8300
0.405078125	8400
0.40703125	8500
0.4115234375	8600
0.4150390625	8700
0.41640625	8800
0.41953125	8900
0.4220703125	9000
0.42421875	9100
0.426953125	9200
0.42890625	9300
0.4318359375	9400
0.4330078125	9500
0.435546875	9600
0.439453125	9700
0.4419921875	9800
0.44375	9900
0.4453125	10000
