Time for n puts with reference HashMap
time(ms)	n
6.581598	100
11.440604	200
15.412656	300
19.357338	400
22.533098	500
25.350484	600
28.655395	700
30.886895	800
32.437569	900
34.004921	1000
36.133784	1100
39.178682	1200
40.634416	1300
41.750166	1400
43.053656	1500
44.052228	1600
45.136759	1700
46.4565	1800
56.296823	1900
57.818844	2000
58.75669	2100
59.697101	2200
60.597741	2300
78.186302	2400
79.270405	2500
80.514451	2600
81.391142	2700
82.136115	2800
82.949086	2900
83.66669	3000
84.5344	3100
85.272103	3200
86.274525	3300
87.21793	3400
88.068534	3500
89.508873	3600
90.320133	3700
91.621485	3800
92.390835	3900
93.27779	4000
94.150204	4100
94.993538	4200
95.920692	4300
96.709714	4400
97.647988	4500
98.995953	4600
99.958603	4700
100.922536	4800
101.866796	4900
102.712696	5000
103.420464	5100
104.320676	5200
105.228158	5300
106.162582	5400
107.141055	5500
108.132357	5600
109.013325	5700
110.061933	5800
110.892865	5900
111.743897	6000
112.653089	6100
113.388655	6200
114.450092	6300
115.268195	6400
116.176105	6500
117.169973	6600
118.026136	6700
118.946021	6800
119.95058	6900
121.805316	7000
122.608451	7100
123.486853	7200
124.337884	7300
125.072594	7400
125.942015	7500
126.675442	7600
127.779217	7700
128.655909	7800
129.713497	7900
130.461037	8000
131.537015	8100
132.472722	8200
133.354117	8300
134.282127	8400
135.106644	8500
136.061168	8600
137.055464	8700
137.990744	8800
138.849046	8900
139.725309	9000
140.601145	9100
141.402996	9200
142.276694	9300
143.139272	9400
144.214395	9500
144.970487	9600
145.800992	9700
146.693079	9800
147.795571	9900
148.623937	10000
