Size of table vs n puts
size	n
160	100
320	200
320	300
640	400
640	500
640	600
640	700
640	800
640	900
1280	1000
1280	1100
1280	1200
1280	1300
1280	1400
1280	1500
1280	1600
1280	1700
1280	1800
1280	1900
1280	2000
2560	2100
2560	2200
2560	2300
2560	2400
2560	2500
2560	2600
2560	2700
2560	2800
2560	2900
2560	3000
2560	3100
2560	3200
2560	3300
2560	3400
2560	3500
2560	3600
2560	3700
2560	3800
2560	3900
2560	4000
2560	4100
2560	4200
2560	4300
2560	4400
2560	4500
2560	4600
2560	4700
2560	4800
2560	4900
2560	5000
2560	5100
2560	5200
2560	5300
2560	5400
2560	5500
2560	5600
2560	5700
2560	5800
2560	5900
2560	6000
2560	6100
5120	6200
5120	6300
5120	6400
5120	6500
5120	6600
5120	6700
5120	6800
5120	6900
5120	7000
5120	7100
5120	7200
5120	7300
5120	7400
5120	7500
5120	7600
5120	7700
5120	7800
5120	7900
5120	8000
5120	8100
5120	8200
5120	8300
5120	8400
5120	8500
5120	8600
5120	8700
5120	8800
5120	8900
5120	9000
5120	9100
5120	9200
5120	9300
5120	9400
5120	9500
5120	9600
5120	9700
5120	9800
5120	9900
5120	10000
